,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,month_name_added,year_added,listed_in_1,listed_in_2,listed_in_3,duration_seasons
835,TV Show,Eden,Data not available,"Marika Kono, Kentaro Ito, Kyoko Hikami, Tarusuke Shingaki, Koichi Yamadera, Yuuki Kuwahara, Yuhko Kaida, Ruby Rose Turner, David Tennant, Rosario Dawson, JP Karliak, Neil Patrick Harris, Cassandra Lee Morris, Julie Nathanson",United States,2021-05-27,2021,TV-PG,1 Season,"Anime Series, International TV Shows","A human girl secretly raised by robots starts to uncover the dark secrets behind her lush, utopian world where humanity has all but vanished.",5,May,2021,Anime Series, International TV Shows,0,1
837,TV Show,Ragnarok,Data not available,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø, Emma Bones, Henriette Steenstrup, Gísli Örn Garðarsson, Synnøve Macody Lund, Ylva Thedin Bjørkaas, Odd-Magnus Williamson","Norway, Denmark",2021-05-27,2021,TV-MA,2 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It’ll take a legend to battle an old evil.",5,May,2021,International TV Shows, TV Action & Adventure, TV Dramas,2
842,TV Show,High on the Hog: How African American Cuisine Transformed America,Data not available,Data not available,United States,2021-05-26,2021,TV-14,1 Season,Docuseries,"Black food is American food. Chef and writer Stephen Satterfield traces the delicious, moving throughlines from Africa to Texas in this docuseries.",5,May,2021,Docuseries,0,0,1
843,TV Show,JoJo's Bizarre Adventure,Data not available,"Kazuyuki Okitsu, Tomokazu Sugita, Daisuke Ono, Unsho Ishizuka, Kensho Ono, Takehito Koyasu, Yoku Shioya, Yoji Ueda, Ayako Kawasumi, Takuya Sato, Atsuko Tanaka, Atsushi Imaruoka, Daisuke Hirakawa, Fuminori Komatsu, Kenta Miyake, Misato Fukuen, Yuki Kaji, Wataru Takagi, Takahiro Sakurai, Yuichi Nakamura, Junichi Suwabe, Kohsuke Toriumi, Daiki Yamashita, Junya Enoki",Japan,2021-05-26,2016,TV-MA,3 Seasons,"Anime Series, International TV Shows",Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.,5,May,2021,Anime Series, International TV Shows,0,3
847,TV Show,Mad for Each Other,Data not available,"Jung Woo, Oh Yeon-seo, Baik Ji-won, Lee Hye-eun, Lee Yeon-doo, Lee Su-hyun, An Woo-yeon",United States,2021-05-24,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.",5,May,2021,International TV Shows, Romantic TV Shows, TV Comedies,1
848,TV Show,Master of None,Data not available,"Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale",United States,2021-05-23,2021,TV-MA,3 Seasons,"TV Comedies, TV Dramas",Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.,5,May,2021,TV Comedies, TV Dramas,0,3
855,TV Show,Jurassic World Camp Cretaceous,Data not available,"Paul-Mikél Williams, Jenna Ortega, Sean Giambrone, Kausar Mohammed, Ryan Potter, Raini Rodriguez, Jameela Jamil, Glen Powell",United States,2021-05-21,2021,TV-Y7,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Six teens invited to attend a state-of-the-art adventure camp on Isla Nublar must band together to survive when the dinosaurs break out of captivity.,5,May,2021,Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy,3
857,TV Show,The Neighbor,Data not available,"Quim Gutiérrez, Clara Lago, Adrián Pino, Catelina Sopelana",Spain,2021-05-21,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.,5,May,2021,International TV Shows, Spanish-Language TV Shows, TV Comedies,2
862,TV Show,Special,Data not available,"Ryan O'Connell, Jessica Hecht, Punam Patel, Marla Mindelle, Augustus Prew, Patrick Fabian",United States,2021-05-20,2021,TV-MA,2 Seasons,TV Comedies,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.,5,May,2021,TV Comedies,0,0,2
868,TV Show,The Magic School Bus,Data not available,"Lily Tomlin, Daniel DeSanto, Erica Luttrell, Maia Filar, Lisa Yamanaka, Tara Meyer, Stuart Stone, Malcolm-Jamal Warner, Danny Tamberelli","Canada, United States",2021-05-19,1997,TV-Y,1 Season,Kids' TV,"Join Ms. Frizzle as the Magic School Bus travels to outer space, under the sea, through an anthill – and even inside the human body!",5,May,2021,Kids' TV,0,0,1
869,TV Show,Who Killed Sara?,Data not available,"Manolo Cardona, Ginés García Millán, Carolina Miranda, Alejandro Nones, Claudia Ramírez, Eugenio Siller, Juan Carlos Remolina, Ximena Lamadrid, Luis Roberto Guzmán, Leo Deluglio, Héctor Jiménez, Ana Lucía Domínguez, Iñaki Godoy, Polo Morín, Andrés Baida, Fátima Molina, Marco Zapata",Mexico,2021-05-19,2021,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.",5,May,2021,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,2
874,TV Show,Booba: Food Puzzle,Data not available,"Artem Kretov, Elena Solovieva, Vyacheslav Kataev",United Kingdom,2021-05-15,2021,TV-Y,1 Season,Kids' TV,"Curious Booba is now a chef! With friends Loola and Spike, he creates tasty treats with delightful designs using fruits, vegetables and other food.",5,May,2021,Kids' TV,0,0,1
876,TV Show,Alma Matters,Data not available,Data not available,India,2021-05-14,2021,TV-MA,1 Season,"Docuseries, International TV Shows","Alumni of India’s elite academic institutes share the harsh realities, pleasant surprises and transformative journeys of their college experiences.",5,May,2021,Docuseries, International TV Shows,0,1
879,TV Show,Halston,Daniel Minahan,"Ewan McGregor, Bill Pullman, Rebecca Dayan, David Pittu, Krysta Rodriguez, Rory Culkin, Vera Farmiga, Gian Franco Rodriguez, Sullivan Jones, Kelly Bishop, Dilone, James Waterston, Jason Kravits, Mary Beth Peil",United States,2021-05-14,2021,TV-MA,1 Season,TV Dramas,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,5,May,2021,TV Dramas,0,0,1
880,TV Show,Haunted,Data not available,Data not available,"United States, Czech Republic",2021-05-14,2021,TV-MA,3 Seasons,"Reality TV, TV Horror, TV Thrillers","Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",5,May,2021,Reality TV, TV Horror, TV Thrillers,3
